game,algo,seed,final_duality_gap,gap_log_linear_rate,final_tv_a,final_tv_b,final_entropy_a,csv_path
rps3,slingshot,4,0.23946150278353026,-1.487434367007074e-05,0.2642361648282492,0.10906946117693639,0.929478888898718,stochastic_gradient\rps3\slingshot_seed4.csv
cyclic7,vanilla,0,0.6999899216767206,5.330870756158262e-05,0.8566768441822469,0.8312236652038749,0.004138309761387188,exact_gradient\cyclic7\vanilla_seed0.csv
cyclic7,vanilla,1,0.6999999688517313,3.5916226149435956e-05,0.856758740278486,0.8466152718191434,0.0034521785889106015,exact_gradient\cyclic7\vanilla_seed1.csv
cyclic7,vanilla,2,0.6999993757024316,4.423619046368615e-05,0.8571246617020551,0.7347076927445935,0.00022675449553378695,exact_gradient\cyclic7\vanilla_seed2.csv
cyclic7,vanilla,3,0.699997735055227,6.24518823947817e-05,0.8571426875851118,0.8449379367075045,2.958203626473679e-06,exact_gradient\cyclic7\vanilla_seed3.csv
cyclic7,vanilla,4,0.6996527177075373,5.863790818733491e-05,0.790920895851232,0.8557885787711174,0.2552043908333084,exact_gradient\cyclic7\vanilla_seed4.csv
cyclic7,nash_md,0,2.1510571102112408e-16,-0.004515782078094876,1.8041124150158794e-16,1.942890293094024e-16,1.945910149055313,exact_gradient\cyclic7\nash_md_seed0.csv
cyclic7,nash_md,1,1.2727913960881258e-16,-0.004533242828157232,6.938893903907228e-17,1.8041124150158794e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed1.csv
cyclic7,nash_md,2,2.0816681711721685e-16,-0.004487425948729021,1.942890293094024e-16,1.8041124150158794e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed2.csv
cyclic7,nash_md,3,2.5773034500226845e-16,-0.004464972907687233,2.0816681711721685e-16,3.191891195797325e-16,1.945910149055313,exact_gradient\cyclic7\nash_md_seed3.csv
cyclic7,nash_md,4,3.007514872064933e-16,-0.004306172506694993,2.636779683484747e-16,2.3592239273284576e-16,1.9459101490553132,exact_gradient\cyclic7\nash_md_seed4.csv
cyclic7,slingshot,0,0.054985457241376455,-0.0002869920399527356,0.3492727946052009,0.24853961034825364,1.6261139762002734,exact_gradient\cyclic7\slingshot_seed0.csv
cyclic7,slingshot,1,0.038901696821339954,-0.0005605082284300819,0.21555345865628167,0.19240928253157508,1.8030323537096697,exact_gradient\cyclic7\slingshot_seed1.csv
cyclic7,slingshot,2,0.01301953419942433,-0.0006415336220875139,0.06882347112302353,0.11366968468086842,1.9334869090881681,exact_gradient\cyclic7\slingshot_seed2.csv
cyclic7,slingshot,3,0.02325776774331372,-0.0006054441286521596,0.14740112715849224,0.15026698185855175,1.8932656513232013,exact_gradient\cyclic7\slingshot_seed3.csv
cyclic7,slingshot,4,0.0185502166642921,-0.000626972351278423,0.05619714999526336,0.17678833455769336,1.9379158177532778,exact_gradient\cyclic7\slingshot_seed4.csv
cyclic7,vanilla,0,0.6999818679082102,7.977344905074348e-06,0.8569921661870303,0.8556735833280619,0.001569187279801528,stochastic_gradient\cyclic7\vanilla_seed0.csv
cyclic7,vanilla,1,0.6999996655275819,1.3372443805822979e-05,0.7142842061621975,0.8569164548167276,0.4719068108690942,stochastic_gradient\cyclic7\vanilla_seed1.csv
cyclic7,vanilla,2,0.6999999884892618,1.4021037852853454e-05,0.8570127747362803,0.7473766485659804,0.0013020925646447011,stochastic_gradient\cyclic7\vanilla_seed2.csv
cyclic7,vanilla,3,0.6999993422812169,1.71267428591113e-05,0.8331593683513022,0.8571393742233667,0.12096938745261057,stochastic_gradient\cyclic7\vanilla_seed3.csv
cyclic7,vanilla,4,0.699999986533243,1.562930423799129e-05,0.8560988136443379,0.8517679460380163,0.008214908911663394,stochastic_gradient\cyclic7\vanilla_seed4.csv
cyclic7,nash_md,0,0.06568722290636132,4.964778183562155e-06,0.07379526780050796,0.04054925918844225,1.928354300674172,stochastic_gradient\cyclic7\nash_md_seed0.csv
cyclic7,nash_md,1,0.0874745474653134,-8.052326656966363e-07,0.10781147764884269,0.04556343245582286,1.9181499074310764,stochastic_gradient\cyclic7\nash_md_seed1.csv
cyclic7,nash_md,2,0.03262978360783669,-3.1648382560720732e-06,0.027925667600095308,0.04895310711852868,1.9437869032553834,stochastic_gradient\cyclic7\nash_md_seed2.csv
cyclic7,nash_md,3,0.0678708022466674,-1.676610473336579e-05,0.04198612193325021,0.07143803173379834,1.940711750738207,stochastic_gradient\cyclic7\nash_md_seed3.csv
cyclic7,nash_md,4,0.06575402208022171,-2.1811308833496298e-05,0.0766609082575824,0.0669171604341794,1.9307160827097383,stochastic_gradient\cyclic7\nash_md_seed4.csv
cyclic7,slingshot,0,0.3603304249123396,1.2424095632625317e-05,0.4884711526539623,0.4354441126158658,1.3432096541566352,stochastic_gradient\cyclic7\slingshot_seed0.csv
cyclic7,slingshot,1,0.1319837399941094,-5.319321652814682e-06,0.39403247458279356,0.324390585241693,1.489469565789159,stochastic_gradient\cyclic7\slingshot_seed1.csv
cyclic7,slingshot,2,0.27767851925224873,0.00011269224476123546,0.5635169711912277,0.46981591921815247,0.9744481520647804,stochastic_gradient\cyclic7\slingshot_seed2.csv
cyclic7,slingshot,3,0.30224371645127657,7.0536613239307e-05,0.5417426023813126,0.5657146021554622,1.121554145332575,stochastic_gradient\cyclic7\slingshot_seed3.csv
cyclic7,slingshot,4,0.3232654961158336,5.4433689399311955e-05,0.5660736455672978,0.5506957403201558,1.0086683237624472,stochastic_gradient\cyclic7\slingshot_seed4.csv
